Degrees of Freedom,Value of T,,,,,,
1,6.3138,,,,,,
2,2.92,,,,,,
3,2.3534,,,,,,
4,2.1319,,,,,,
5,2.015,,,,,,
6,1.9432,,,,,,
7,1.8946,,,,,,
8,1.8595,,,,,,
9,1.8331,,,,,,
10,1.8124,,,,,,
11,1.7959,,,,,,
12,1.7823,,,,,,
13,1.7709,,,,,,
14,1.7613,,,,,,
15,1.753,,,,,,
16,1.7459,,,,,,
17,1.7396,,,,,,
18,1.7341,,,,,,
19,1.7291,,,,,,
20,1.7247,,,,,,
21,1.7207,,,,,,
22,1.7172,,,,,,
23,1.7139,,,,,,
24,1.7109,,,,,,
25,1.7081,,,,,,
26,1.7056,,,,,,
27,1.7033,,,,,,
28,1.7011,,,,,,
29,1.6991,,,,,,
30,1.6973,,,,,,
31,1.6955,,,,,,
32,1.6939,,,,,,
33,1.6924,,,,,,
34,1.6909,,,,,,
35,1.6896,,,,,,
36,1.6883,,,,,,
37,1.6871,,,,,,
38,1.6859,,,,,,
39,1.6849,,,,,,
40,1.6839,,,,,,
41,1.6829,,,,,,
42,1.682,,,,,,
43,1.6811,,,,,,
44,1.6802,,,,,,
45,1.6794,,,,,,
46,1.6787,,,,,,
47,1.6779,,,,,,
48,1.6772,,,,,,
49,1.6766,,,,,,
50,1.6759,,,,,,
51,1.6753,,,,,,
52,1.6747,,,,,,
53,1.6741,,,,,,
54,1.6736,,,,,,
55,1.673,,,,,,
56,1.6725,,,,,,
57,1.672,,,,,,
58,1.6715,,,,,,
59,1.6711,,,,,,
60,1.6706,,,,,,
61,1.6702,,,,,,
62,1.6698,,,,,,
63,1.6694,,,,,,
64,1.669,,,,,,
65,1.6686,,,,,,
66,1.6683,,,,,,
67,1.6679,,,,,,
68,1.6676,,,,,,
69,1.6673,,,,,,
70,1.6669,,,,,,
71,1.6666,,,,,,
72,1.6663,,,,,,
73,1.666,,,,,,
74,1.6657,,,,,,
75,1.6654,,,,,,
76,1.6652,,,,,,
77,1.6649,,,,,,
78,1.6646,,,,,,
79,1.6644,,,,,,
80,1.6641,,,,,,
81,1.6639,,,,,,
82,1.6636,,,,,,
83,1.6634,,,,,,
84,1.6632,,,,,,
85,1.663,,,,,,
86,1.6628,,,,,,
87,1.6626,,,,,,
88,1.6623,,,,,,
89,1.6622,,,,,,
90,1.662,,,,,,
91,1.6618,,,,,,
92,1.6616,,,,,,
93,1.6614,,,,,,
94,1.6612,,,,,,
95,1.661,,,,,,
96,1.6609,,,,,,
97,1.6607,,,,,,
98,1.6606,,,,,,
99,1.6604,,,,,,
100,1.6602,,,,,,
101,1.6601,,,,,,
102,1.6599,,,,,,
103,1.6598,,,,,,
104,1.6596,,,,,,
105,1.6595,,,,,,
106,1.6593,,,,,,
107,1.6592,,,,,,
108,1.6591,,,,,,
109,1.6589,,,,,,
110,1.6588,,,,,,
111,1.6587,,,,,,
112,1.6586,,,,,,
113,1.6585,,,,,,
114,1.6583,,,,,,
115,1.6582,,,,,,
116,1.6581,,,,,,
117,1.658,,,,,,
118,1.6579,,,,,,
119,1.6578,,,,,,
120,1.6577,,,,,,
121,1.6575,,,,,,
122,1.6574,,,,,,
123,1.6573,,,,,,
124,1.6572,,,,,,
125,1.6571,,,,,,
126,1.657,,,,,,
127,1.657,,,,,,
128,1.6568,,,,,,
129,1.6568,,,,,,
130,1.6567,,,,,,
131,1.6566,,,,,,
132,1.6565,,,,,,
133,1.6564,,,,,,
134,1.6563,,,,,,
135,1.6562,,,,,,
136,1.6561,,,,,,
137,1.6561,,,,,,
138,1.656,,,,,,
139,1.6559,,,,,,
140,1.6558,,,,,,
141,1.6557,,,,,,
142,1.6557,,,,,,
143,1.6556,,,,,,
144,1.6555,,,,,,
145,1.6554,,,,,,
146,1.6554,,,,,,
147,1.6553,,,,,,
148,1.6552,,,,,,
149,1.6551,,,,,,
150,1.6551,,,,,,
151,1.655,,,,,,
152,1.6549,,,,,,
153,1.6549,,,,,,
154,1.6548,,,,,,
155,1.6547,,,,,,
156,1.6547,,,,,,
157,1.6546,,,,,,
158,1.6546,,,,,,
159,1.6545,,,,,,
160,1.6544,,,,,,
161,1.6544,,,,,,
162,1.6543,,,,,,
163,1.6543,,,,,,
164,1.6542,,,,,,
165,1.6542,,,,,,
166,1.6541,,,,,,
167,1.654,,,,,,
168,1.654,,,,,,
169,1.6539,,,,,,
170,1.6539,,,,,,
171,1.6538,,,,,,
172,1.6537,,,,,,
173,1.6537,,,,,,
174,1.6537,,,,,,
175,1.6536,,,,,,
176,1.6536,,,,,,
177,1.6535,,,,,,
178,1.6535,,,,,,
179,1.6534,,,,,,
180,1.6534,,,,,,
181,1.6533,,,,,,
182,1.6533,,,,,,
183,1.6532,,,,,,
184,1.6532,,,,,,
185,1.6531,,,,,,
186,1.6531,,,,,,
187,1.6531,,,,,,
188,1.653,,,,,,
189,1.6529,,,,,,
190,1.6529,,,,,,
191,1.6529,,,,,,
192,1.6528,,,,,,
193,1.6528,,,,,,
194,1.6528,,,,,,
195,1.6527,,,,,,
196,1.6527,,,,,,
197,1.6526,,,,,,
198,1.6526,,,,,,
199,1.6525,,,,,,
200,1.6525,,,,,,
